,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,Year,UID,Salary,Cap%
0,Quincy Acy,PF,22,TOR,29,0,11.8,1.4,2.6,0.0,0.1,1.4,2.5,1.1,1.3,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,0.7,0.4,1.1,-1.0,1.0,0.1,0.2,2013,acyqu01,  665000 ,0.011332844799672797
1,Jeff Adrien,PF,26,CHA,52,5,13.7,1.4,3.2,0.0,0.0,1.4,3.2,1.3,1.9,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0,0.5,0.4,1.0,-2.1,-0.9,-3.0,-0.2,2013,adrieje01,  804131 ,0.013703897476098775
2,Arron Afflalo,SF,27,ORL,64,64,36.0,6.2,14.1,1.1,3.8,5.1,10.4,3.0,3.5,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,1.5,0.5,2.0,-1.1,-1.8,-2.9,-0.5,2013,afflaar01,  7750000 ,0.1320745070638559
3,Cole Aldrich,C,24,TOT,45,0,8.6,1.0,1.8,0.0,0.0,1.0,1.8,0.3,0.4,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,0.1,0.4,0.6,-3.5,0.6,-2.9,-0.1,2013,aldrico01,  2445480 ,0.04167555684316365
4,LaMarcus Aldridge,PF,27,POR,74,74,37.7,8.6,17.8,0.0,0.2,8.6,17.6,3.8,4.7,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,4.8,2.3,7.2,1.7,-0.4,1.3,2.3,2013,aldrila01,  13500000 ,0.23006527036929736
5,Lavoy Allen,C,23,PHI,79,37,21.1,2.6,5.7,0.0,0.0,2.6,5.7,0.5,0.8,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,0.9,1.6,2.5,-3.0,-0.3,-3.3,-0.6,2013,allenla01,  3000000 ,0.051125615637621635
6,Tony Allen,SG,31,MEM,79,79,26.7,3.6,8.1,0.0,0.3,3.6,7.8,1.7,2.4,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,1.0,4.1,5.1,-2.0,2.4,0.4,1.2,2013,allento01,  3300000 ,0.0562381772013838
7,Al-Farouq Aminu,SF,22,NOH,76,71,27.2,3.0,6.2,0.1,0.3,2.9,6.0,1.3,1.8,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,0.7,2.4,3.1,-1.3,1.2,-0.1,1.0,2013,aminual01,  2947800 ,0.05023602992552702
8,Lou Amundson,PF,30,TOT,39,0,9.5,0.8,2.1,0.0,0.0,0.8,2.1,0.3,0.9,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,1.9,-0.3,0.4,0.1,-4.2,0.0,-4.2,-0.2,2013,amundlo01,  1069509 ,0.018226435351659027
9,Chris Andersen,C,34,MIA,42,0,14.9,1.7,2.9,0.0,0.1,1.6,2.9,1.5,2.2,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,1.6,1.1,2.7,-1.0,0.8,-0.2,0.3,2013,anderch01,  4526000 ,0.07713151212529185
